Code,Name
10100,spsw
10200,gped
10300,pled
10400,eyem
10500,artf
10600,bckg
10101,spsw_zeros
10201,gped_zeros
10301,pled_zeros
10401,eyem_zeros
10501,artf_zeros
10601,bckg_zeros
20000,normal_train
30000,normal_test
40000,abnormal_train
50000,abnormal_test
10010,random_freq
10020,random_delta
10030,random_theta
10040,random_alpha
10050,random_beta
10060,random_gamma
10012,sync_freq
10022,sync_delta
10032,sync_theta
10042,sync_alpha
10052,sync_beta
10062,sync_gamma
11000,random_eeg
12000,male_eeg
13000,female_eeg
14000,elderly_eeg
15000,young_eeg
11020,random_eeg_delta
11030,random_eeg_theta
11040,random_eeg_alpha
11050,random_eeg_beta
11060,random_eeg_gamma
